"restaurant_name","cuisine_type","cost_of_the_order","rating","day_of_wk","customer_num_order","rst_num_order","customer_neighbourhood","customer_region","complete_time","rst_num_order_binned","Cluster"
"Sushi of Gari","Japanese",12.18,2.6,"Mon",4,16,"Theater District","Midtown",49,"Low","cluster_2"
"Parm","Italian",14.99,3.8,"Sat",1,68,"Upper West Side","West Side",58,"High","cluster_1"
"The Meatball Shop","Italian",6.74,3.5,"Sat",1,132,"Upper West Side","West Side",56,"Very High","cluster_1"
"Cafe China","Chinese",24.3,3.6,"Sun",2,6,"Hell's Kitchen","West Side",43,"Low","cluster_3"
"Shake Shack","American",10.38,3.5,"Sat",1,219,"NoHo","South Manhattan",53,"Very High","cluster_1"
"RedFarm Broadway","Chinese",6.79,3.5,"Sat",2,59,"Chelsea","West Side",61,"Mid","cluster_1"
"RedFarm Hudson","Chinese",25.27,4.1,"Sat",3,55,"West Village","South Manhattan",62,"Mid","cluster_3"
"Otto Enoteca Pizzeria","Italian",14.99,3.3,"Sun",2,12,"Midtown","Midtown",50,"Low","cluster_2"
"RedFarm Hudson","Chinese",29.05,4.1,"Sat",3,55,"East Village","South Manhattan",50,"Mid","cluster_3"
"Blue Ribbon Sushi Bar & Grill","Japanese",9.65,3,"Sun",6,44,"Upper West Side","West Side",51,"Mid","cluster_0"
"The Meatball Shop","Italian",29.2,4,"Sun",1,132,"Chelsea","West Side",55,"Very High","cluster_3"
"Nobu Next Door","Japanese",5.77,2.7,"Fri",2,42,"Harlem","Upper Manhattan",53,"Mid","cluster_2"
"Boqueria","Spanish",12.13,3,"Sun",3,9,"East Village","South Manhattan",50,"Low","cluster_2"
"Bareburger","American",12.08,3.4,"Sun",2,27,"Upper East Side","East Side",49,"Mid","cluster_2"
"Blue Ribbon Fried Chicken","American",11.59,4,"Wed",1,96,"Upper East Side","East Side",49,"High","cluster_2"
"TAO","Japanese",9.56,3,"Sat",4,49,"Chelsea","West Side",38,"Mid","cluster_2"
"Song Thai Restaurant & Bar","Thai",24.2,4.2,"Sun",1,2,"Upper East Side","East Side",47,"Low","cluster_3"
"Sushi of Gari","Japanese",29.34,4.1,"Thu",3,16,"Upper West Side","West Side",57,"Low","cluster_3"
"The Meatball Shop","Italian",11.16,3,"Fri",8,132,"Upper West Side","West Side",50,"Very High","cluster_0"
"Shake Shack","American",24.25,4,"Thu",1,219,"Chelsea","West Side",56,"Very High","cluster_3"
"Blue Ribbon Sushi","Japanese",29.2,3.8,"Sat",1,119,"Upper West Side","West Side",47,"High","cluster_3"
"Shake Shack","American",14.07,3.3,"Sun",1,219,"Upper West Side","West Side",53,"Very High","cluster_1"
"Parm","Italian",19.35,4,"Sat",2,68,"Gramercy","East Side",54,"High","cluster_3"
"RedFarm Hudson","Chinese",16.1,3.6,"Sat",1,55,"Harlem","Upper Manhattan",52,"Mid","cluster_1"
"Shake Shack","American",22.8,3.7,"Sun",1,219,"Upper East Side","East Side",49,"Very High","cluster_3"
"Blue Ribbon Sushi Bar & Grill","Japanese",15.23,3.6,"Sat",1,44,"Upper East Side","East Side",49,"Mid","cluster_2"
"Five Guys Burgers and Fries","American",33.03,4.1,"Sat",1,29,"Chelsea","West Side",54,"Mid","cluster_3"
"Shake Shack","American",12.95,3.3,"Sun",1,219,"Lower East Side","South Manhattan",45,"Very High","cluster_2"
"Shake Shack","American",16.49,3.4,"Sun",5,219,"Chinatown","South Manhattan",54,"Very High","cluster_0"
"Benihana","Japanese",29.05,3.6,"Sun",6,5,"Upper West Side","West Side",51,"Low","cluster_3"
"RedFarm Broadway","Chinese",31.33,4.2,"Sat",2,59,"Upper West Side","West Side",56,"Mid","cluster_3"
"TAO","Japanese",16.01,3.2,"Sat",2,49,"Morningside Heights","Upper Manhattan",42,"Mid","cluster_2"
"Tamarind TriBeCa","Indian",14.07,3.6,"Sun",3,27,"SoHo","South Manhattan",47,"Mid","cluster_2"
"Sushi of Gari 46","Japanese",8.83,3.7,"Tue",1,37,"Upper West Side","West Side",64,"Mid","cluster_1"
"The Kati Roll Company","Indian",33.03,4.3,"Sun",1,16,"Chelsea","West Side",56,"Low","cluster_3"
"Shake Shack","American",16.25,3.6,"Thu",3,219,"Harlem","Upper Manhattan",54,"Very High","cluster_1"
"The Meatball Shop","Italian",22.36,3.6,"Sun",2,132,"Chelsea","West Side",46,"Very High","cluster_3"
"Rubirosa","Italian",8,3.6,"Thu",5,37,"Greenwich Village","South Manhattan",56,"Mid","cluster_1"
"Blue Ribbon Sushi","Japanese",16.01,3.3,"Sun",3,119,"Hell's Kitchen","West Side",51,"High","cluster_2"
"RedFarm Broadway","Chinese",16.01,3.7,"Tue",6,59,"East Harlem","Upper Manhattan",50,"Mid","cluster_0"
"Five Leaves","American",10.24,3.2,"Thu",2,4,"Midtown","Midtown",47,"Low","cluster_2"
"Otto Enoteca Pizzeria","Italian",19.4,3.8,"Fri",2,12,"Upper East Side","East Side",60,"Low","cluster_1"
"Pinto Nouveau Thai Bistro","Thai",19.35,4.1,"Sat",4,4,"Chelsea","West Side",58,"Low","cluster_3"
"Barbounia","Mediterranean",13.97,3.8,"Sat",1,6,"Hell's Kitchen","West Side",54,"Low","cluster_1"
"Five Guys Burgers and Fries","American",13.05,3.4,"Sun",2,29,"Upper West Side","West Side",61,"Mid","cluster_1"
"RedFarm Broadway","Chinese",8.49,3.2,"Sun",2,59,"Kips Bay","East Side",40,"Mid","cluster_2"
"Parm","Italian",22.8,4.5,"Tue",3,68,"East Village","South Manhattan",66,"High","cluster_3"
"Barbounia","Mediterranean",20.18,4,"Sat",3,6,"Little Italy","South Manhattan",48,"Low","cluster_3"
"RedFarm Broadway","Chinese",19.59,3.3,"Sun",1,59,"Flatiron District","Midtown",43,"Mid","cluster_2"
"Dirty Bird to Go","American",19.4,3.4,"Sat",1,4,"Harlem","Upper Manhattan",44,"Low","cluster_2"
"The Meatball Shop","Italian",17.03,4,"Thu",1,132,"Chinatown","South Manhattan",51,"Very High","cluster_1"
"Amy Ruth's","Southern",16.11,4,"Sun",2,3,"Upper East Side","East Side",56,"Low","cluster_1"
"Pepe Giallo","Italian",14.6,3.8,"Thu",1,1,"Harlem","Upper Manhattan",56,"Low","cluster_1"
"TAO","Japanese",12.27,3.6,"Tue",1,49,"Harlem","Upper Manhattan",55,"Mid","cluster_1"
"indikitch","Indian",22.26,4.1,"Sat",1,4,"East Village","South Manhattan",51,"Low","cluster_3"
"The Meatball Shop","Italian",6.79,3.1,"Sun",2,132,"Hell's Kitchen","West Side",41,"Very High","cluster_2"
"Han Dynasty","Chinese",14.12,3.3,"Sat",6,46,"Midtown","Midtown",54,"Mid","cluster_0"
"The Meatball Shop","Italian",29.15,4.2,"Sat",3,132,"East Village","South Manhattan",54,"Very High","cluster_3"
"Prosperity Dumpling","Chinese",12.18,3.5,"Thu",1,3,"Midtown","Midtown",50,"Low","cluster_2"
"Chipotle Mexican Grill","Mexican",25.22,3.7,"Sat",1,23,"Upper West Side","West Side",49,"Mid","cluster_3"
"Shake Shack","American",13.39,3.2,"Sun",1,219,"East Harlem","Upper Manhattan",52,"Very High","cluster_2"
"Blue Ribbon Fried Chicken","American",9.02,3.3,"Sat",1,96,"East Village","South Manhattan",46,"High","cluster_2"
"Sushi of Gari","Japanese",29.15,4,"Sat",1,16,"Chelsea","West Side",58,"Low","cluster_3"
"Yama 49","Japanese",13,2.9,"Fri",2,5,"Midtown","Midtown",56,"Low","cluster_1"
"Blue Ribbon Fried Chicken","American",15.33,4,"Wed",1,96,"Hell's Kitchen","West Side",53,"High","cluster_1"
"Yama Japanese Restaurant","Japanese",14.55,3.4,"Sat",3,18,"East Village","South Manhattan",48,"Low","cluster_2"
"Momoya","Japanese",31.43,3.8,"Sun",3,30,"Upper East Side","East Side",41,"Mid","cluster_3"
"Five Guys Burgers and Fries","American",33.03,3.6,"Sun",8,29,"Hell's Kitchen","West Side",44,"Mid","cluster_3"
"Piccolo Angolo","Italian",15.91,3.7,"Sun",1,2,"Upper East Side","East Side",52,"Low","cluster_1"
"Momoya","Japanese",12.18,3.3,"Sat",2,30,"Chelsea","West Side",52,"Mid","cluster_1"
"Shake Shack","American",19.35,3.4,"Mon",2,219,"Upper West Side","West Side",68,"Very High","cluster_1"
"RedFarm Broadway","Chinese",19.35,3.9,"Sat",3,59,"Upper East Side","East Side",52,"Mid","cluster_3"
"Hill Country Fried Chicken","Southern",29.35,4.2,"Sun",1,14,"Upper West Side","West Side",50,"Low","cluster_3"
"Shake Shack","American",15.28,3.3,"Fri",1,219,"Chelsea","West Side",59,"Very High","cluster_1"
"Pepe Rosso To Go","Italian",12.23,3,"Fri",3,7,"Flatiron District","Midtown",48,"Low","cluster_2"
"Shake Shack","American",9.6,4,"Wed",1,219,"Chelsea","West Side",63,"Very High","cluster_1"
"Han Dynasty","Chinese",12.95,3.3,"Sat",5,46,"Chelsea","West Side",45,"Mid","cluster_2"
"Shake Shack","American",8.88,3.4,"Sat",1,219,"Little Italy","South Manhattan",50,"Very High","cluster_2"
"Shake Shack","American",15.96,3.3,"Sun",1,219,"Harlem","Upper Manhattan",51,"Very High","cluster_2"
"Jack's Wife Freda","Mediterranean",15.47,3.8,"Sun",1,25,"East Village","South Manhattan",49,"Mid","cluster_2"
"Five Guys Burgers and Fries","American",12.23,3.1,"Sun",1,29,"Upper West Side","West Side",44,"Mid","cluster_2"
"Shake Shack","American",8.05,3.7,"Tue",1,219,"East Village","South Manhattan",52,"Very High","cluster_1"
"Momoya","Japanese",8.54,3.7,"Wed",2,30,"Harlem","Upper Manhattan",57,"Mid","cluster_1"
"Nobu Next Door","Japanese",29.15,4.3,"Tue",1,42,"East Village","South Manhattan",53,"Mid","cluster_3"
"Han Dynasty","Chinese",7.23,3.3,"Sat",2,46,"Kips Bay","East Side",39,"Mid","cluster_2"
"L'Express","French",19.69,3.2,"Sun",2,6,"Upper West Side","West Side",43,"Low","cluster_2"
"Parm","Italian",12.13,3.6,"Sun",2,68,"Lower East Side","South Manhattan",56,"High","cluster_1"
"Bareburger","American",16.49,3.1,"Mon",2,27,"East Harlem","Upper Manhattan",58,"Mid","cluster_1"
"Mission Cantina","Mexican",12.08,3.4,"Sat",2,5,"Gramercy","East Side",48,"Low","cluster_2"
"5 Napkin Burger","American",9.27,3.5,"Sat",1,5,"Upper West Side","West Side",64,"Low","cluster_1"
"Han Dynasty","Chinese",24.25,3.9,"Sat",1,46,"Harlem","Upper Manhattan",59,"Mid","cluster_3"
"Han Dynasty","Chinese",5.67,4,"Wed",1,46,"Upper East Side","East Side",52,"Mid","cluster_1"
"Blue Ribbon Sushi Bar & Grill","Japanese",14.12,3.2,"Sun",2,44,"Little Italy","South Manhattan",45,"Mid","cluster_2"
"Han Dynasty","Chinese",33.03,3.8,"Mon",4,46,"Inwood","Upper Manhattan",64,"Mid","cluster_3"
"Han Dynasty","Chinese",8.97,3.4,"Sat",1,46,"Chelsea","West Side",52,"Mid","cluster_1"
"Amma","Indian",8.88,3.9,"Tue",3,4,"East Village","South Manhattan",51,"Low","cluster_1"
"Blue Ribbon Sushi Izakaya","Japanese",12.13,3.8,"Wed",4,29,"Harlem","Upper Manhattan",59,"Mid","cluster_1"
"Delicatessen","American",11.64,3,"Sun",5,5,"Midtown","Midtown",54,"Low","cluster_0"
"Sushi of Gari 46","Japanese",31.43,4.1,"Sat",1,37,"Chelsea","West Side",58,"Mid","cluster_3"
"Blue Ribbon Sushi Bar & Grill","Japanese",13.15,3.2,"Sun",2,44,"Midtown","Midtown",60,"Mid","cluster_1"
"Blue Ribbon Fried Chicken","American",14.02,3.6,"Sat",1,96,"Upper East Side","East Side",48,"High","cluster_2"
"Sarabeth's East","American",9.41,3.2,"Sat",5,7,"Upper East Side","East Side",41,"Low","cluster_2"
"Osteria Morini","Italian",9.07,3.2,"Sun",2,14,"Harlem","Upper Manhattan",49,"Low","cluster_2"
"Rubirosa","Italian",14.07,3.6,"Sat",1,37,"Hell's Kitchen","West Side",51,"Mid","cluster_1"
"S'MAC","American",14.46,3.5,"Sat",1,12,"Chelsea","West Side",51,"Low","cluster_2"
"Vanessa's Dumplings","Chinese",6.7,2.8,"Sun",2,13,"Midtown","Midtown",37,"Low","cluster_2"
"Blue Ribbon Sushi Izakaya","Japanese",14.07,2.9,"Fri",1,29,"Midtown","Midtown",50,"Mid","cluster_2"
"Tamarind TriBeCa","Indian",19.45,3.8,"Sat",1,27,"East Harlem","Upper Manhattan",48,"Mid","cluster_3"
"Cafe Habana","Mexican",13.97,3.6,"Thu",1,16,"Morningside Heights","Upper Manhattan",62,"Low","cluster_1"
"Sushi of Gari 46","Japanese",12.22,3.3,"Sat",3,37,"East Village","South Manhattan",44,"Mid","cluster_2"
"Bhatti Indian Grill","Indian",29.25,4,"Sun",3,2,"Kips Bay","East Side",36,"Low","cluster_3"
"Cafeteria","American",17.03,3.6,"Sat",2,9,"Hell's Kitchen","West Side",54,"Low","cluster_1"
"Taro Sushi","Japanese",16.05,3.3,"Fri",1,1,"Harlem","Upper Manhattan",67,"Low","cluster_1"
"Yama Japanese Restaurant","Japanese",17.08,3.3,"Sun",3,18,"Chinatown","South Manhattan",43,"Low","cluster_2"
"Blue Ribbon Sushi","Japanese",11.3,2.9,"Mon",1,119,"West Village","South Manhattan",48,"High","cluster_2"
"Delicatessen","American",32.98,3.8,"Sun",3,5,"Inwood","Upper Manhattan",50,"Low","cluster_3"
"Hill Country Fried Chicken","Southern",29.15,4.4,"Sat",1,14,"Washington Heights","Upper Manhattan",58,"Low","cluster_3"
"The Meatball Shop","Italian",13,3.7,"Thu",1,132,"Upper West Side","West Side",49,"Very High","cluster_2"
"Pepe Rosso To Go","Italian",13.73,3.5,"Sun",2,7,"Lower East Side","South Manhattan",49,"Low","cluster_2"
"Han Dynasty","Chinese",12.23,3.3,"Sun",13,46,"East Village","South Manhattan",60,"Mid","cluster_0"
"Bareburger","American",16.25,3.5,"Sat",2,27,"East Village","South Manhattan",44,"Mid","cluster_2"
"The Meatball Shop","Italian",14.31,3.2,"Sun",3,132,"East Harlem","Upper Manhattan",40,"Very High","cluster_2"
